reference,URL,status,description
"Pauline Thomas (2007-09-08). ""The Wearing of Hats Fashion History"". Fashion-era.com. Retrieved 2011-07-02.",http://www.fashion-era.com/hats-hair/hats_hair_1_wearing_hats_fashion_history.htm,200,OK
"""The social meanings of hats"". University of Chicago Press. Retrieved 2011-07-02.",http://www.press.uchicago.edu/Misc/Chicago/117987.html,200,OK
"""Insignia:The Way You Tell Who's Who in the Military"". United States Department of Defense. Archived from the original on 2012-04-14. Retrieved 2011-07-02.",https://web.archive.org/web/20120414202044/http://www.defense.gov//News/NewsArticle.aspx?ID=42199,200,OK
"""Insignia:The Way You Tell Who's Who in the Military"". United States Department of Defense. Archived from the original on 2012-04-14. Retrieved 2011-07-02.",http://www.defense.gov/news/newsarticle.aspx?id=42199,200,OK
"""What are Church Hats?"". Southern Living. Archived from the original on 14 May 2021. Retrieved 10 May 2022. Church hats have been a key part of churchgoers' Sunday best for years, and are still an important aspect of dress in some churches today. The practice of covering one's head for church originally came from the Bible—1 Corinthians 11:15, to be precise. The simple head covering has been adapted and expanded to become a stylish part of Southern women's churchgoing attire. At the turn of the century, many Southern ladies wore simple hats to church out of respect, reverence for the service, and continuity with passed-down traditions. The church hat tradition continues today, with hats—sometimes called crowns—in bright colors, bold patterns, and eye-catching styles at Sunday services across the South.",https://web.archive.org/web/20210514230453/https://www.southernliving.com/culture/church-hats,200,OK
"""What are Church Hats?"". Southern Living. Archived from the original on 14 May 2021. Retrieved 10 May 2022. Church hats have been a key part of churchgoers' Sunday best for years, and are still an important aspect of dress in some churches today. The practice of covering one's head for church originally came from the Bible—1 Corinthians 11:15, to be precise. The simple head covering has been adapted and expanded to become a stylish part of Southern women's churchgoing attire. At the turn of the century, many Southern ladies wore simple hats to church out of respect, reverence for the service, and continuity with passed-down traditions. The church hat tradition continues today, with hats—sometimes called crowns—in bright colors, bold patterns, and eye-catching styles at Sunday services across the South.",https://www.southernliving.com/culture/church-hats,404,Not Found
"""BBC News | SCI/TECH | World's oldest hat revealed"". news.bbc.co.uk. Retrieved 2018-09-25.",http://news.bbc.co.uk/2/hi/science/nature/725803.stm,200,OK
"Davis, Nicola (30 August 2016). ""It becometh the iceman: clothing study reveals stylish secrets of leather-loving ancient"". The Guardian. Archived from the original on 30 August 2016. Retrieved 30 August 2016.",https://www.theguardian.com/science/2016/aug/18/it-becometh-the-iceman-otzi-clothing-study-reveals-stylish-secrets-of-leather-loving-ancient,200,OK
"Davis, Nicola (30 August 2016). ""It becometh the iceman: clothing study reveals stylish secrets of leather-loving ancient"". The Guardian. Archived from the original on 30 August 2016. Retrieved 30 August 2016.",https://web.archive.org/web/20160830164637/https://www.theguardian.com/science/2016/aug/18/it-becometh-the-iceman-otzi-clothing-study-reveals-stylish-secrets-of-leather-loving-ancient,200,OK
"Romey, Kristin (18 August 2016). ""Here's What the Iceman Was Wearing When He Died 5,300 Years Ago"". National Geographic. Archived from the original on 19 August 2016. Retrieved 18 August 2016.",https://web.archive.org/web/20160819105927/http://news.nationalgeographic.com/2016/08/otzi-iceman-european-alps-mummy-clothing-dna-leather-fur-archaeology/,200,OK
"Romey, Kristin (18 August 2016). ""Here's What the Iceman Was Wearing When He Died 5,300 Years Ago"". National Geographic. Archived from the original on 19 August 2016. Retrieved 18 August 2016.",http://news.nationalgeographic.com/2016/08/otzi-iceman-european-alps-mummy-clothing-dna-leather-fur-archaeology,200,OK
"O’Sullivan, Niall J.; Teasdale, Matthew D.; Mattiangeli, Valeria; Maixner, Frank; Pinhasi, Ron; Bradley, Daniel G.; Zink, Albert (18 August 2016). ""A whole mitochondria analysis of the Tyrolean Iceman's leather provides insights into the animal sources of Copper Age clothing"". Scientific Reports. 6: 31279. Bibcode:2016NatSR...631279O. doi:10.1038/srep31279. ISSN 2045-2322. PMC 4989873. PMID 27537861.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4989873,200,OK
"O’Sullivan, Niall J.; Teasdale, Matthew D.; Mattiangeli, Valeria; Maixner, Frank; Pinhasi, Ron; Bradley, Daniel G.; Zink, Albert (18 August 2016). ""A whole mitochondria analysis of the Tyrolean Iceman's leather provides insights into the animal sources of Copper Age clothing"". Scientific Reports. 6: 31279. Bibcode:2016NatSR...631279O. doi:10.1038/srep31279. ISSN 2045-2322. PMC 4989873. PMID 27537861.",https://ui.adsabs.harvard.edu/abs/2016NatSR...631279O,200,OK
"O’Sullivan, Niall J.; Teasdale, Matthew D.; Mattiangeli, Valeria; Maixner, Frank; Pinhasi, Ron; Bradley, Daniel G.; Zink, Albert (18 August 2016). ""A whole mitochondria analysis of the Tyrolean Iceman's leather provides insights into the animal sources of Copper Age clothing"". Scientific Reports. 6: 31279. Bibcode:2016NatSR...631279O. doi:10.1038/srep31279. ISSN 2045-2322. PMC 4989873. PMID 27537861.",https://doi.org/10.1038%2Fsrep31279,200,OK
"O’Sullivan, Niall J.; Teasdale, Matthew D.; Mattiangeli, Valeria; Maixner, Frank; Pinhasi, Ron; Bradley, Daniel G.; Zink, Albert (18 August 2016). ""A whole mitochondria analysis of the Tyrolean Iceman's leather provides insights into the animal sources of Copper Age clothing"". Scientific Reports. 6: 31279. Bibcode:2016NatSR...631279O. doi:10.1038/srep31279. ISSN 2045-2322. PMC 4989873. PMID 27537861.",https://www.worldcat.org/issn/2045-2322,200,OK
"O’Sullivan, Niall J.; Teasdale, Matthew D.; Mattiangeli, Valeria; Maixner, Frank; Pinhasi, Ron; Bradley, Daniel G.; Zink, Albert (18 August 2016). ""A whole mitochondria analysis of the Tyrolean Iceman's leather provides insights into the animal sources of Copper Age clothing"". Scientific Reports. 6: 31279. Bibcode:2016NatSR...631279O. doi:10.1038/srep31279. ISSN 2045-2322. PMC 4989873. PMID 27537861.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4989873,200,OK
"O’Sullivan, Niall J.; Teasdale, Matthew D.; Mattiangeli, Valeria; Maixner, Frank; Pinhasi, Ron; Bradley, Daniel G.; Zink, Albert (18 August 2016). ""A whole mitochondria analysis of the Tyrolean Iceman's leather provides insights into the animal sources of Copper Age clothing"". Scientific Reports. 6: 31279. Bibcode:2016NatSR...631279O. doi:10.1038/srep31279. ISSN 2045-2322. PMC 4989873. PMID 27537861.",https://pubmed.ncbi.nlm.nih.gov/27537861,200,OK
"""The Tollund Man – Appearance"". The Tollund Man – A face from prehistoric Denmark. 2004. Archived from the original on 2011-07-19. Retrieved 2016-09-30.",https://web.archive.org/web/20110719132454/http://www.tollundman.dk/udseende.asp,200,OK
"""The Tollund Man – Appearance"". The Tollund Man – A face from prehistoric Denmark. 2004. Archived from the original on 2011-07-19. Retrieved 2016-09-30.",http://www.tollundman.dk/udseende.asp,404,Not Found
"""History of Hats"". Hatsandcaps.co.uk. Retrieved 2011-07-02.",http://www.hatsandcaps.co.uk/Hat-History-Ahat_history/,200,OK
"Waldman, Katy (2013-10-17). ""The history of the witch's hat"". Slate.com. Retrieved 2014-03-26.",http://www.slate.com/blogs/the_eye/2013/10/17/the_history_of_the_witch_s_hat_origins_of_its_pointy_design.html,200,OK
"Johnston, Ruth A. (2011). All Things Medieval: An Encyclopedia of the Medieval World. ABC-CLIO. Retrieved 2014-03-26.",https://books.google.com/books?id=h1s8K0_hCfoC&pg=PA331,200,OK
"""Hat history"". Hatsuk.com. Archived from the original on 2000-09-14. Retrieved 2012-01-07.",https://web.archive.org/web/20000914041825/http://www.hatsuk.com/hatsuk/hatsukhtml/bible/history.htm,200,OK
"""Hat history"". Hatsuk.com. Archived from the original on 2000-09-14. Retrieved 2012-01-07.",http://www.hatsuk.com/hatsuk/hatsukhtml/bible/history.htm,403,Forbidden
"""History of Women's Hats"". Vintagefashionguild.org. Retrieved 2012-01-07.",http://vintagefashionguild.org/fashion-history/the-history-of-womens-hats/,404,Not Found
"Lauren Turner (2012-06-21). ""New dress code a hit at Ascots' Ladies Day"". Independent.co.uk. Archived from the original on 2022-05-09. Retrieved 2013-08-29.",https://www.independent.co.uk/news/uk/home-news/new-dress-code-a-hit-at-ascots-ladies-day-7872665.html,200,OK
"Lauren Turner (2012-06-21). ""New dress code a hit at Ascots' Ladies Day"". Independent.co.uk. Archived from the original on 2022-05-09. Retrieved 2013-08-29.",https://ghostarchive.org/archive/20220509/https://www.independent.co.uk/news/uk/home-news/new-dress-code-a-hit-at-ascots-ladies-day-7872665.html,503,Service Unavailable
"""Hats in History: The Kentucky Derby"". Hats-plus.com. 2012-04-28. Archived from the original on 2013-08-19. Retrieved 2013-08-29.",https://web.archive.org/web/20130819005633/http://www.hats-plus.com/chronicles/?p=634,200,OK
"""Hats in History: The Kentucky Derby"". Hats-plus.com. 2012-04-28. Archived from the original on 2013-08-19. Retrieved 2013-08-29.",http://www.hats-plus.com/chronicles/?p=634,439,Application Inactive
"""Millinery Madness: Hat Makers With Attitude"". The New York Times. Archived from the original on 2017-06-30. Retrieved 2017-02-27.",https://www.nytimes.com/2011/10/04/fashion/04iht-rhats04.html?pagewanted=all,200,OK
"""Millinery Madness: Hat Makers With Attitude"". The New York Times. Archived from the original on 2017-06-30. Retrieved 2017-02-27.",https://web.archive.org/web/20170630065123/http://www.nytimes.com/2011/10/04/fashion/04iht-rhats04.html?pagewanted=all,200,OK
"""Centuries of hats"". The New York Times. Archived from the original on 2017-12-28. Retrieved 2017-02-27.",https://www.nytimes.com/2016/04/01/fashion/hats-lock-and-co-london.html?_r=0,200,OK
"""Centuries of hats"". The New York Times. Archived from the original on 2017-12-28. Retrieved 2017-02-27.",https://web.archive.org/web/20171228172743/https://www.nytimes.com/2016/04/01/fashion/hats-lock-and-co-london.html?_r=0,200,OK
"""Brussels life"". Brusselslife.be. Retrieved 2013-04-15.",http://www.brusselslife.be/en/article/brusselslife-with-fabienne-delvigne,200,OK
"""Philip Treacy 'Hatforms' at IMMA Thursday"". Raidió Teilifís Éireann. 5 April 2001. Archived from the original on August 17, 2012. Retrieved 11 December 2010.",https://web.archive.org/web/20120817233050/http://www.rte.ie/ten/2001/0405/treacyp.html,200,OK
"""Philip Treacy 'Hatforms' at IMMA Thursday"". Raidió Teilifís Éireann. 5 April 2001. Archived from the original on August 17, 2012. Retrieved 11 December 2010.",https://www.rte.ie/ten/2001/0405/treacyp.html,200,OK
"Philip Treacy: King of Royal wedding hats Archived 2011-08-31 at the Wayback Machine Irish Independent, 2011-04-29",http://www.independent.ie/world-news/royal-wedding/philip-treacy-king-of-royal-wedding-hats-2633003.html,404,Not Found
"Philip Treacy: King of Royal wedding hats Archived 2011-08-31 at the Wayback Machine Irish Independent, 2011-04-29",https://web.archive.org/web/20110831081900/http://www.independent.ie/world-news/royal-wedding/philip-treacy-king-of-royal-wedding-hats-2633003.html,200,OK
"""Cavanagh Hats"". Bernard Hats. Retrieved 2019-12-06.",https://bernardhats.com/hat-companies/cavanagh-hats/,502,Bad Gateway
"""Neue Zürcher Zeitung FOLIO"". Nzzfolio.ch. 2011-02-08. Retrieved 2012-01-07.",http://www.nzzfolio.ch/www/21b625ad-36bc-48ea-b615-1c30cd0b472d/showarticle/17b78ab1-fd69-4400-8848-a44e6459cac8.aspx,200,OK
"Smoltczyk, Alexander (4 December 2009). ""Der Spiegel"". Spiegel.de. Retrieved 2012-01-07.","http://www.spiegel.de/panorama/gesellschaft/0,1518,665012,00.html",200,OK
"""Philippi Collection"". Philippi-collection.blogspot.com. 2011-11-23. Retrieved 2012-01-07.",http://philippi-collection.blogspot.com/2011/11/jewish-white-hat.html,200,OK
"Klinkenborg, Verlyn (2009-02-03). ""Season of the chullo"". International Herald Tribune. Archived from the original on January 30, 2009. Retrieved 2011-07-02.",https://web.archive.org/web/20090130103519/http://iht.com/articles/2009/01/23/opinion/edverlyn.1-414278.php,200,OK
"Klinkenborg, Verlyn (2009-02-03). ""Season of the chullo"". International Herald Tribune. Archived from the original on January 30, 2009. Retrieved 2011-07-02.",http://www.iht.com/articles/2009/01/23/opinion/edverlyn.1-414278.php,404,Not Found
"""Malema under fire over slur on Indians"". News24. 2011-10-20. Retrieved 2013-06-16.",http://www.news24.com/SouthAfrica/Politics/Malema-under-fire-over-slur-on-Indians-20111020,404,Not Found
"Most current dictionaries do not record any offensive meaning (""an unskilled laborer or porter usually in or from India hired for low or subsistence wages"" Merriam-Webster Archived 2008-01-26 at the Wayback Machine) or make a distinction between an offensive meaning in referring to ""a person from the Indian subcontinent or of Indian descent"" and an at least originally inoffensive, old-fashioned meaning, for example ""dated an unskilled native labourer in India, China, and some other Asian countries"" (Compact Oxford English Dictionary). However, some dictionaries indicate that the word may be considered offensive in all contexts today. For example, Longman Archived 2006-11-27 at the Wayback Machine's 1995 edition had ""old-fashioned an unskilled worker who is paid very low wages, especially in parts of Asia"", but the current version adds ""taboo old-fashioned a very offensive word ... Do not use this word"".",http://www.m-w.com/cgi-bin/dictionary?book=Dictionary&va=coolie,404,Not Found
"Most current dictionaries do not record any offensive meaning (""an unskilled laborer or porter usually in or from India hired for low or subsistence wages"" Merriam-Webster Archived 2008-01-26 at the Wayback Machine) or make a distinction between an offensive meaning in referring to ""a person from the Indian subcontinent or of Indian descent"" and an at least originally inoffensive, old-fashioned meaning, for example ""dated an unskilled native labourer in India, China, and some other Asian countries"" (Compact Oxford English Dictionary). However, some dictionaries indicate that the word may be considered offensive in all contexts today. For example, Longman Archived 2006-11-27 at the Wayback Machine's 1995 edition had ""old-fashioned an unskilled worker who is paid very low wages, especially in parts of Asia"", but the current version adds ""taboo old-fashioned a very offensive word ... Do not use this word"".",https://web.archive.org/web/20080126211748/http://www.m-w.com/cgi-bin/dictionary?book=Dictionary&va=coolie,200,OK
"Most current dictionaries do not record any offensive meaning (""an unskilled laborer or porter usually in or from India hired for low or subsistence wages"" Merriam-Webster Archived 2008-01-26 at the Wayback Machine) or make a distinction between an offensive meaning in referring to ""a person from the Indian subcontinent or of Indian descent"" and an at least originally inoffensive, old-fashioned meaning, for example ""dated an unskilled native labourer in India, China, and some other Asian countries"" (Compact Oxford English Dictionary). However, some dictionaries indicate that the word may be considered offensive in all contexts today. For example, Longman Archived 2006-11-27 at the Wayback Machine's 1995 edition had ""old-fashioned an unskilled worker who is paid very low wages, especially in parts of Asia"", but the current version adds ""taboo old-fashioned a very offensive word ... Do not use this word"".",https://web.archive.org/web/20161022011430/https://en.oxforddictionaries.com/definition/coolie,200,OK
