,text,0,1,2,3,4,5,6,7,8,9,10,11,12
0,"Driscoll, Macdonald & O'Brien 2009 did not conclude a date for genetic divergence, noting from archaeological evidence that ""the broadest range of dates for domestication to be from 11,000 to 4,000 B.P."".",#CITEREFDriscollMacdonaldO'Brien2009,,,,,,,,,,,,
1,"Linnaeus, C. (1758). ""Felis Catus"". Systema naturae per regna tria naturae: secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis (in Latin). Vol. 1 (10th reformed ed.). Holmiae: Laurentii Salvii. p. 42.",https://archive.org/details/mobot31753000798865/page/42,,,,,,,,,,,,
2,"Wozencraft, W. C. (2005). ""Species Felis catus"". In Wilson, D. E.; Reeder, D. M. (eds.). Mammal Species of the World: A Taxonomic and Geographic Reference (3rd ed.). Johns Hopkins University Press. pp. 534–535. ISBN 978-0-8018-8221-0. OCLC 62265494.",/wiki/W._Chris_Wozencraft,http://www.departments.bucknell.edu/biology/resources/msw3/browse.asp?id=14000031,/wiki/Don_E._Wilson,http://www.google.com/books?id=JgAMbNSt8ikC&pg=PA534–535,/wiki/ISBN_(identifier),/wiki/Special:BookSources/978-0-8018-8221-0,/wiki/OCLC_(identifier),https://www.worldcat.org/oclc/62265494,,,,,
3,"Erxleben, J. C. P. (1777). ""Felis Catus domesticus"". Systema regni animalis per classes, ordines, genera, species, varietates cvm synonymia et historia animalivm. Classis I. Mammalia. Lipsiae: Weygandt. pp. 520–521.",https://archive.org/details/iochristpolycerx00erxl/page/520,,,,,,,,,,,,
4,"McKnight, G. H. (1923). ""Words and Archaeology"". English Words and Their Background. New York, London: D. Appleton and Company. pp. 293–311.",https://archive.org/details/englishwordsthei00mckn/page/300,/wiki/D._Appleton_and_Company,,,,,,,,,,,
5,"Pictet, A. (1859). Les origines indo-européennes ou les Aryas primitifs : essai de paléontologie linguistique (in French). Vol. 1. Paris: Joël Cherbuliez. p. 381.",,,,,,,,,,,,,
6,"Keller, O. (1909). Die antike Tierwelt (in German). Vol. Säugetiere. Leipzig: Walther von Wartburg. p. 75.",/wiki/Walther_von_Wartburg,,,,,,,,,,,,
7,"Huehnergard, J. (2008). ""Qitta: Arabic Cats"". In Gruendler, B.; Cooperson, M. (eds.). Classical Arabic Humanities in Their Own Terms: Festschrift for Wolfhart Heinrichs on his 65th Birthday. Leiden, Boston: Brill. pp. 407–418. ISBN 9789004165731. Archived from the original on 31 March 2021. Retrieved 25 October 2020.",https://books.google.com/books?id=n1_qqgNTsX8C&pg=PA407,/wiki/ISBN_(identifier),/wiki/Special:BookSources/9789004165731,https://web.archive.org/web/20210331062414/https://books.google.com/books?id=n1_qqgNTsX8C&pg=PA407,,,,,,,,,
8,"Kroonen, G. (2013). Etymological Dictionary of Proto-Germanic. Leiden, Netherlands: Brill Publishers. p. 281f. ISBN 9789004183407.",/wiki/Brill_Publishers,/wiki/ISBN_(identifier),/wiki/Special:BookSources/9789004183407,,,,,,,,,,
9,"""Puss"". The Oxford English Dictionary. Oxford University Press. Archived from the original on 3 September 2015. Retrieved 1 October 2012.",http://www.oed.com/view/Entry/155147#eid27609702,/wiki/Oxford_University_Press,https://web.archive.org/web/20150903215025/http://www.oed.com/view/Entry/155147#eid27609702,,,,,,,,,,
10,"""puss"". Webster's Encyclopedic Unabridged Dictionary of the English Language. New York: Gramercy (Random House). 1996. p. 1571.",/wiki/Random_House,,,,,,,,,,,,
11,"""tom cat, tom-cat"". The Oxford English Dictionary. Oxford University Press. Retrieved 1 October 2012.",http://www.oed.com/view/Entry/203100#eid18281825,,,,,,,,,,,,
12,"""gib, n.2"". The Oxford English Dictionary. Archived from the original on 18 September 2018. Retrieved 1 October 2012.",http://www.oed.com/view/Entry/78103?rskey=Z7UU0G&result=1&isAdvanced=false#eid,https://web.archive.org/web/20180918111545/http://www.oed.com/view/Entry/78103?rskey=Z7UU0G&result=1&isAdvanced=false#eid,,,,,,,,,,,
13,"""queen cat"". The Oxford English Dictionary. Archived from the original on 3 September 2015. Retrieved 1 October 2012.",http://www.oed.com/view/Entry/156212?rskey=c2khr1&result=1&isAdvanced=false#eid27437294,https://web.archive.org/web/20150903215025/http://www.oed.com/view/Entry/156212?rskey=c2khr1&result=1&isAdvanced=false#eid27437294,,,,,,,,,,,
14,"Some sources wrote that queen refers to unspayed cats that are in an oestrus cycle. Grosskopf, Shane (23 June 2022). ""What is a Female Cat Called? A Guide to the Fascinating Terms"". Spot Pet Insurance. Archived from the original on 11 April 2024. Retrieved 1 May 2024. Scamporrino, Christina (12 December 2018). ""Cat Parenting 101: Special Considerations for Your Female Cat"". PrettyLitter. Archived from the original on 1 October 2023. Retrieved 1 May 2024.",/wiki/Estrous_cycle,https://spotpet.com/blog/cat-tips/what-is-a-female-cat-called,https://web.archive.org/web/20240411035905/https://spotpet.com/blog/cat-tips/what-is-a-female-cat-called,https://www.prettylitter.com/blog/cat-parenting-101-special-considerations-for-your-female-cat,https://web.archive.org/web/20231001160548/https://www.prettylitter.com/blog/cat-parenting-101-special-considerations-for-your-female-cat,,,,,,,,
15,"""7 fascinating facts about female cats"". Cats Protection. 8 March 2020. Archived from the original on 16 December 2023. Retrieved 30 April 2024.",https://web.archive.org/web/20231216143959/https://www.cats.org.uk/cats-blog/7-facts-about-female-cats,https://www.cats.org.uk/cats-blog/7-facts-about-female-cats,,,,,,,,,,,
16,"""catling"". The Oxford English Dictionary. Archived from the original on 3 September 2015. Retrieved 1 October 2012.",http://www.oed.com/view/Entry/28995?redirectedFrom=catling#eid,https://web.archive.org/web/20150903215025/http://www.oed.com/view/Entry/28995?redirectedFrom=catling#eid,,,,,,,,,,,
17,"""What do you call a group of ...?"". Oxford Dictionaries Online. Oxford University Press. Archived from the original on 12 October 2012. Retrieved 1 October 2012.",https://web.archive.org/web/20121012112007/http://oxforddictionaries.com/words/what-do-you-call-a-group-of,/wiki/Oxford_Dictionaries_Online,http://oxforddictionaries.com/words/what-do-you-call-a-group-of,,,,,,,,,,
18,"Satunin, C. (1904). ""The Black Wild Cat of Transcaucasia"". Proceedings of the Zoological Society of London. II: 162–163.",https://archive.org/details/proceedingsofzoo19042zool,https://archive.org/details/proceedingsofzoo19042zool/page/162,,,,,,,,,,,
19,"Bukhnikashvili, A.; Yevlampiev, I. (eds.). Catalogue of the Specimens of Caucasian Large Mammalian Fauna in the Collection (PDF). Tbilisi: National Museum of Georgia. Archived (PDF) from the original on 4 March 2016. Retrieved 19 January 2019.",http://caucasian-large-mammalian.narod.ru/catalogue_english.pdf,/wiki/National_Museum_of_Georgia,https://web.archive.org/web/20160304073023/http://caucasian-large-mammalian.narod.ru/catalogue_english.pdf,,,,,,,,,,
20,"""Opinion 2027"". Bulletin of Zoological Nomenclature. 60. International Commission on Zoological Nomenclature: 81−82. 2003.",https://archive.org/details/bulletinofzoolog602003int/page/81,/wiki/International_Commission_on_Zoological_Nomenclature,,,,,,,,,,,
21,"Gentry, A.; Clutton-Brock, J.; Groves, C. P. (2004). ""The naming of wild animal species and their domestic derivatives"" (PDF). Journal of Archaeological Science. 31 (5): 645–651. Bibcode:2004JArSc..31..645G. doi:10.1016/j.jas.2003.10.006. Archived (PDF) from the original on 4 March 2016. Retrieved 19 January 2019.",http://www.rhinoresourcecenter.com/pdf_files/129/1297897712.pdf,/wiki/Bibcode_(identifier),https://ui.adsabs.harvard.edu/abs/2004JArSc..31..645G,/wiki/Doi_(identifier),https://doi.org/10.1016%2Fj.jas.2003.10.006,https://web.archive.org/web/20160304052316/http://www.rhinoresourcecenter.com/pdf_files/129/1297897712.pdf,,,,,,,
22,"Driscoll, C. A.; Macdonald, D. W.; O'Brien, S. J. (2009). ""In the Light of Evolution III: Two Centuries of Darwin Sackler Colloquium: From Wild Animals to Domestic Pets – An Evolutionary View of Domestication"". Proceedings of the National Academy of Sciences of the United States of America. 106 (S1): 9971–9978. Bibcode:2009PNAS..106.9971D. doi:10.1073/pnas.0901586106. PMC 2702791. PMID 19528637.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2702791,/wiki/Bibcode_(identifier),https://ui.adsabs.harvard.edu/abs/2009PNAS..106.9971D,/wiki/Doi_(identifier),https://doi.org/10.1073%2Fpnas.0901586106,/wiki/PMC_(identifier),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2702791,/wiki/PMID_(identifier),https://pubmed.ncbi.nlm.nih.gov/19528637,,,,
23,"Wozencraft, W. C. (2005). ""Species Felis silvestris"". In Wilson, D. E.; Reeder, D. M. (eds.). Mammal Species of the World: A Taxonomic and Geographic Reference (3rd ed.). Johns Hopkins University Press. pp. 536–537. ISBN 978-0-8018-8221-0. OCLC 62265494.",/wiki/W._Chris_Wozencraft,http://www.departments.bucknell.edu/biology/resources/msw3/browse.asp?id=14000057,/wiki/Don_E._Wilson,http://www.google.com/books?id=JgAMbNSt8ikC&pg=PA536–537,/wiki/ISBN_(identifier),/wiki/Special:BookSources/978-0-8018-8221-0,/wiki/OCLC_(identifier),https://www.worldcat.org/oclc/62265494,,,,,
